#,Time(ms),CH1(mV),CH2(mV)
182,-0.0068800,640.00,0.00
183,-0.0069200,620.00,-20.00
184,-0.0069600,640.00,0.00
185,-0.0070000,620.00,-20.00
186,-0.0070400,660.00,0.00
187,-0.0070800,620.00,-20.00
188,-0.0071200,640.00,0.00
189,-0.0071600,620.00,-20.00
190,-0.0072000,640.00,0.00
191,-0.0072400,600.00,-20.00
192,-0.0072800,640.00,0.00
193,-0.0073200,620.00,-20.00
194,-0.0073600,640.00,0.00
195,-0.0074000,620.00,-20.00
196,-0.0074400,640.00,0.00
197,-0.0074800,620.00,-20.00
198,-0.0075200,640.00,0.00
199,-0.0075600,640.00,-20.00
200,-0.0076000,640.00,0.00
201,-0.0076400,640.00,-20.00
202,-0.0076800,640.00,0.00
203,-0.0077200,640.00,-20.00
204,-0.0077600,660.00,0.00
205,-0.0078000,620.00,-20.00
206,-0.0078400,640.00,0.00
207,-0.0078800,620.00,-20.00
208,-0.0079200,640.00,0.00
209,-0.0079600,620.00,-20.00
210,-0.0080000,640.00,0.00
211,-0.0080400,600.00,-20.00
212,-0.0080800,640.00,0.00
213,-0.0081200,600.00,-20.00
214,-0.0081600,640.00,0.00
215,-0.0082000,620.00,-20.00
216,-0.0082400,660.00,0.00
217,-0.0082800,640.00,-20.00
218,-0.0083200,660.00,0.00
219,-0.0083600,640.00,-20.00
220,-0.0084000,660.00,0.00
221,-0.0084400,640.00,-20.00
222,-0.0084800,660.00,0.00
223,-0.0085200,620.00,-20.00
224,-0.0085600,660.00,0.00
225,-0.0086000,600.00,-20.00
226,-0.0086400,640.00,0.00
227,-0.0086800,620.00,-20.00
228,-0.0087200,640.00,0.00
229,-0.0087600,600.00,-20.00
230,-0.0088000,640.00,0.00
231,-0.0088400,600.00,-20.00
232,-0.0088800,640.00,0.00
233,-0.0089200,620.00,-20.00
234,-0.0089600,640.00,0.00
235,-0.0090000,620.00,-20.00
236,-0.0090400,640.00,0.00
237,-0.0090800,640.00,-20.00
238,-0.0091200,660.00,0.00
239,-0.0091600,620.00,-20.00
240,-0.0092000,660.00,0.00
241,-0.0092400,620.00,-20.00
242,-0.0092800,660.00,0.00
243,-0.0093200,600.00,-20.00
244,-0.0093600,640.00,0.00
245,-0.0094000,620.00,-20.00
246,-0.0094400,640.00,0.00
247,-0.0094800,620.00,-20.00
248,-0.0095200,640.00,0.00
249,-0.0095600,620.00,-20.00
250,-0.0096000,640.00,0.00
251,-0.0096400,620.00,-20.00
252,-0.0096800,640.00,0.00
253,-0.0097200,640.00,-20.00
254,-0.0097600,660.00,0.00
255,-0.0098000,640.00,-20.00
256,-0.0098400,640.00,0.00
257,-0.0098800,620.00,-20.00
258,-0.0099200,660.00,0.00
259,-0.0099600,600.00,-20.00
260,-0.0100000,640.00,-20.00
261,-0.0100400,600.00,-20.00
262,-0.0100800,640.00,0.00
263,-0.0101200,620.00,-20.00
264,-0.0101600,640.00,0.00
265,-0.0102000,620.00,-20.00
266,-0.0102400,640.00,20.00
267,-0.0102800,620.00,-20.00
268,-0.0103200,640.00,0.00
269,-0.0103600,640.00,-20.00
270,-0.0104000,640.00,0.00
271,-0.0104400,620.00,-20.00
272,-0.0104800,660.00,0.00
273,-0.0105200,620.00,-20.00
274,-0.0105600,640.00,0.00
275,-0.0106000,620.00,-20.00
276,-0.0106400,640.00,0.00
277,-0.0106800,620.00,-20.00
278,-0.0107200,620.00,0.00
279,-0.0107600,620.00,-20.00
280,-0.0108000,640.00,0.00
281,-0.0108400,600.00,-20.00
282,-0.0108800,640.00,0.00
283,-0.0109200,620.00,-20.00
284,-0.0109600,640.00,0.00
285,-0.0110000,620.00,-20.00
286,-0.0110400,640.00,0.00
287,-0.0110800,620.00,-20.00
288,-0.0111200,640.00,0.00
289,-0.0111600,640.00,-20.00
290,-0.0112000,660.00,0.00
291,-0.0112400,640.00,-20.00
292,-0.0112800,640.00,0.00
293,-0.0113200,600.00,-20.00
294,-0.0113600,640.00,0.00
295,-0.0114000,620.00,-20.00
296,-0.0114400,640.00,0.00
297,-0.0114800,600.00,-20.00
298,-0.0115200,640.00,0.00
299,-0.0115600,600.00,-20.00
300,-0.0116000,640.00,0.00
301,-0.0116400,620.00,-20.00
302,-0.0116800,640.00,0.00
303,-0.0117200,620.00,-20.00
304,-0.0117600,640.00,0.00
305,-0.0118000,620.00,-20.00
306,-0.0118400,660.00,0.00
307,-0.0118800,640.00,-20.00
308,-0.0119200,660.00,0.00
309,-0.0119600,620.00,-20.00
310,-0.0120000,660.00,0.00
311,-0.0120400,600.00,-20.00
312,-0.0120800,640.00,0.00
313,-0.0121200,620.00,-20.00
314,-0.0121600,640.00,0.00
315,-0.0122000,600.00,-20.00
316,-0.0122400,640.00,0.00
317,-0.0122800,620.00,-20.00
318,-0.0123200,640.00,0.00
319,-0.0123600,620.00,-20.00
320,-0.0124000,660.00,0.00
321,-0.0124400,620.00,-20.00
322,-0.0124800,640.00,0.00
323,-0.0125200,620.00,-20.00
324,-0.0125600,640.00,0.00
325,-0.0126000,640.00,-20.00
326,-0.0126400,640.00,0.00
327,-0.0126800,640.00,-20.00
328,-0.0127200,640.00,0.00
329,-0.0127600,600.00,-20.00
330,-0.0128000,640.00,0.00
331,-0.0128400,600.00,-20.00
332,-0.0128800,640.00,0.00
333,-0.0129200,600.00,-20.00
334,-0.0129600,640.00,0.00
335,-0.0130000,600.00,-20.00
336,-0.0130400,640.00,0.00
337,-0.0130800,620.00,-20.00
338,-0.0131200,640.00,0.00
339,-0.0131600,640.00,-20.00
340,-0.0132000,640.00,0.00
341,-0.0132400,620.00,-20.00
342,-0.0132800,640.00,0.00
343,-0.0133200,620.00,0.00
344,-0.0133600,660.00,0.00
345,-0.0134000,600.00,-20.00
346,-0.0134400,640.00,0.00
347,-0.0134800,620.00,-20.00
348,-0.0135200,640.00,0.00
349,-0.0135600,600.00,-20.00
350,-0.0136000,640.00,0.00
351,-0.0136400,620.00,-20.00
352,-0.0136800,640.00,0.00
353,-0.0137200,620.00,-20.00
354,-0.0137600,640.00,0.00
355,-0.0138000,620.00,-20.00
356,-0.0138400,640.00,0.00
357,-0.0138800,640.00,-20.00
358,-0.0139200,660.00,0.00
359,-0.0139600,620.00,-20.00
360,-0.0140000,640.00,0.00
361,-0.0140400,620.00,-20.00
362,-0.0140800,640.00,0.00
363,-0.0141200,620.00,-20.00
364,-0.0141600,640.00,0.00
365,-0.0142000,600.00,-20.00
366,-0.0142400,640.00,0.00
367,-0.0142800,620.00,-20.00
368,-0.0143200,640.00,0.00
369,-0.0143600,600.00,-20.00
370,-0.0144000,640.00,0.00
371,-0.0144400,620.00,-20.00
372,-0.0144800,640.00,0.00
373,-0.0145200,620.00,-20.00
374,-0.0145600,660.00,0.00
375,-0.0146000,620.00,-20.00
376,-0.0146400,640.00,0.00
377,-0.0146800,620.00,-20.00
378,-0.0147200,640.00,0.00
379,-0.0147600,600.00,-20.00
380,-0.0148000,640.00,0.00
381,-0.0148400,600.00,-20.00
382,-0.0148800,640.00,0.00
383,-0.0149200,600.00,-20.00
384,-0.0149600,640.00,0.00
385,-0.0150000,600.00,-20.00
386,-0.0150400,640.00,0.00
387,-0.0150800,620.00,-20.00
388,-0.0151200,640.00,0.00
389,-0.0151600,620.00,-20.00
390,-0.0152000,660.00,0.00
391,-0.0152400,640.00,-20.00
392,-0.0152800,640.00,0.00
393,-0.0153200,640.00,-20.00
394,-0.0153600,640.00,0.00
395,-0.0154000,620.00,-20.00
396,-0.0154400,640.00,0.00
397,-0.0154800,620.00,-20.00
398,-0.0155200,640.00,0.00
